Application_ID,Applicant_Name,Email,Phone_Number,CNIC,Age,Gender,University,Degree,CGPA,Experience_Years,Skills,City,IP_Address,Device_ID,Submission_Date,Submission_Time,Submission_Duration,Resume_Uploaded,Email_Verified,Phone_Verified,Internship_Position,Is_Injected_Anomaly
APP0001,Allison Hill,allison.hill655@gmail.com,311419610,46048-5108603-3,22,Other,University of the Punjab,BS Computer Science,3.2,0.1,"Deep Learning, JavaScript",Sialkot,207.228.165.26,DEV-O36JWBWNUH,6/10/2026,18:00:13,8,Yes,No,No,UI/UX Intern,1
APP0002,Noah Rhodes,noah.rhodes827@gmail.com,374388982,80284-3094235-6,13,Other,UET Lahore,BS Artificial Intelligence,3.18,2.1,"JavaScript, HTML/CSS",Karachi,219.119.51.98,DEV-KWNNHJ7XVG,5/24/2026,18:27:02,347,Yes,Yes,No,Backend Developer Intern,1
APP0003,Angie Henderson,angie.henderson702@gmail.com,351938483,40021-1538552-5,26,Female,University of the Punjab,BS Data Science,3.75,1.7,"Deep Learning, Java, Scikit-learn, Statistics",Islamabad,68.71.126.191,DEV-UJV6OH9SDB,5/11/2026,15:30:03,336,Yes,Yes,Yes,Machine Learning Intern,0
APP0004,Daniel Wagner,daniel.wagner395@gmail.com,368852574,79352-5218028-8,20,Other,NED University Karachi,BS Computer Science,3.36,1.6,"Pandas, Power BI, HTML/CSS, Data Visualization",Islamabad,117.1.134.249,DEV-SG65KXVF1T,6/21/2026,11:48:49,1120,Yes,Yes,Yes,Business Analyst Intern,0
APP0005,Cristian Santos,cristian.santos900@gmail.com,345017343,17592-5041154-9,21,Male,NED University Karachi,BS Statistics,3.59,2.9,"Tableau, Java, Node.js",Islamabad,68.216.108.238,DEV-T0HL9XPSEI,6/2/2026,19:47:47,201,Yes,Yes,Yes,Machine Learning Intern,0
APP0006,Connie Lawrence,connie.lawrence725@gmail.com,304841005,18834-1527021-5,21,Other,FAST-NUCES,BBA,3.34,0.6,"Figma, Git, Java",Faisalabad,201.242.208.49,DEV-DXMO5BXXC0,5/11/2026,14:36:55,434,Yes,Yes,Yes,Frontend Developer Intern,0
APP0007,Abigail Shaffer,abigail.shaffer286@gmail.com,375191056,19880-8434500-8,21,Male,University of Agriculture Faisalabad,BS Information Technology,3.85,2.8,"Machine Learning, Data Visualization, Java",Peshawar,55.205.30.43,DEV-N9J2QP89UZ,5/16/2026,0:42:09,374,Yes,No,Yes,Data Analytics Intern,0
APP0008,Gina Moore,gina.moore766@gmail.com,351959074,16572-8999183-8,22,Male,Virtual University of Pakistan,BS Computer Science,3.65,0.2,"JavaScript, Scikit-learn",Karachi,146.126.20.159,DEV-CXULJYLJEX,6/14/2026,9:24:37,503,No,No,Yes,Machine Learning Intern,0
APP0009,Gabrielle Davis,gabrielle.davis76@gmail.com,339265342,76307-5449324-2,99,Male,Government College University Faisalabad,BS Data Science,2.83,0.5,"Git, C++, Python, HTML/CSS",Bahawalpur,27.68.135.30,DEV-60FKHMY4SJ,5/5/2026,22:22:12,274,Yes,Yes,Yes,Business Analyst Intern,1
APP0010,Ryan Munoz,ryan.munoz790@gmail.com,325394880,31178-8412769-8,26,Other,University of Sargodha,BS Computer Science,2.33,2.6,"Node.js, SQL, NumPy",Gujranwala,142.75.220.33,DEV-BN78BMYYMU,6/9/2026,10:55:40,1177,Yes,Yes,No,Frontend Developer Intern,0
APP0011,Monica Herrera,monica.herrera820@gmail.com,327917152,13248-4009172-5,26,Other,Islamia University Bahawalpur,BS Data Science,4.2,2.4,"Scikit-learn, SQL",Peshawar,57.102.235.90,DEV-K2IAGL58KX,6/8/2026,19:19:05,875,No,Yes,No,Machine Learning Intern,1
APP0012,Jamie Arnold,jamie.arnold899@gmail.com,343995870,86099-5453786-0,21,Other,Punjab University College of IT,BS Artificial Intelligence,3.44,0.9,"Scikit-learn, Figma",Faisalabad,66.22.223.1,DEV-S3Y70HP87W,5/13/2026,2:23:52,917,Yes,Yes,Yes,Business Analyst Intern,0
